No(line_no),주소(address),경도(longitute),위도(latitude),쓰레기통 형태(trash_type)
1070,서울특별시 강서구 가로공원로 화곡1동 화원중학교버스정류장(16-202),126.835263,37.5371451, 일반쓰레기 수거용 
1071,서울특별시 강서구 월정로 화곡1동 황외과앞버스정류장(16-190),126.8404407,37.52694719, 일반쓰레기 수거용 
1072,서울특별시 강서구 곰달래로 화곡1동 서울특별시 강서구한방병원버스정류장(16-328),126.8384443,37.53018421, 일반쓰레기 수거용 
1073,서울특별시 강서구 곰달래로 화곡1동 화곡동유림아파트버스정류장(16-188),126.8384443,37.53018421, 일반쓰레기 수거용 
1074,서울특별시 강서구 곰달래로 화곡2동 서울신정초등학교버스정류장(16-182),126.8384443,37.53018421, 일반쓰레기 수거용 
1075,서울특별시 강서구 곰달래로 화곡4동 화곡동남부시장버스정류장(16-180),126.8384443,37.53018421, 일반쓰레기 수거용 
1076,서울특별시 강서구 등촌로 화곡4동 목동사거리버스정류장(16-178),126.8635379,37.53028723, 일반쓰레기 수거용 
1077,서울특별시 강서구 남부순환로 발산1동 서울특별시 강서구면허시험장메이필드호텔 정류장(16-153),126.8077342,37.56122735, 일반쓰레기 수거용 
1078,서울특별시 강서구 강서로 가양1동 등촌3동그랜드백화점 버스정류장(16-219),126.8477217,37.52941676, 일반쓰레기 수거용 
1079,서울특별시 강서구 수명로 발산1동 마곡수명산파크5단지6단지 정류장(16-417),126.8231466,37.5497717, 일반쓰레기 수거용 
1080,서울특별시 강서구 공항대로 가양1동 마곡역 버스정류장(16-018),126.8079513,37.56139871, 일반쓰레기 수거용 
1081,서울특별시 강서구 마곡중앙로 가양1동 마곡역 버스정류장(16-398),126.8258397,37.55454169, 일반쓰레기 수거용 
1082,서울특별시 강서구 강서로 우장산동 발산역.우장산힐스테이트버스정류장(16-217),126.8387248,37.54386224, 일반쓰레기 수거용 
1083,서울특별시 강서구 남부순환로 발산1동 외발산광명마을 버스정류장(16-152),126.8077342,37.56122735, 일반쓰레기 수거용 
1084,서울특별시 강서구 남부순환로 공항동 공항동천주교회 버스정류장(16-161),126.8080738,37.55948123, 일반쓰레기 수거용 
1085,서울특별시 강서구 김포대로 방화2동 상사마을입구 버스정류장(16-172),126.7957746,37.58446973, 일반쓰레기 수거용 
1086,서울특별시 강서구 마곡중앙5로 가양1동 마곡나루역 버스정류장(16-396),126.8275156,37.56678804, 일반쓰레기 수거용 
1087,서울특별시 강서구 마곡중앙5로 가양1동 마곡나루역 버스정류장(16-396),126.8275156,37.56678804, 재활용수거  
1088,서울특별시 강서구 마곡중앙5로 가양1동 마곡나루역1번출구 버스정류장(16-399),126.8275156,37.56678804, 일반쓰레기 수거용 
1089,서울특별시 강서구 마곡중앙5로 가양1동 마곡나루역1번출구 버스정류장(16-399),126.8275156,37.56678804, 재활용수거  
1090,서울특별시 강서구 마곡중앙5로 가양1동 마곡엠밸리7단지.712동 버스정류장(16-702),126.8275156,37.56678804, 일반쓰레기 수거용 
